"cust_id";"phone_no";"cust_email_id";"cust_name";"str_no";"str_name";"pincode"
"57317";"5289998172";"inderpal@gmail.com";"Inderpal Ravinder";"12";"Goel Street";"649721"
"26864";"8043894922";"ishi@gmail.com";"Ishita Devraj";"14";"Ramkissoon Street";"427425"
"58462";"8545588678";"anikp@gmail.com";"Anik Prabhakar";"56";"Sekhon Street";"139845"
"63698";"3816889497";"ninadram@gmail.com";"Ninad Ram";"37";"Kari Street";"456639"
"33295";"9489333654";"devis@yahoo.com";"Devi Sunder";"28";"Subramaniam Street";"376921"
"22150";"9056364822";"rama123@yahoo.com";"Ramadevi Gopala";"57";"Sen Street";"758086"
"76443";"7294778333";"pravinajaya@gmail.com";"Pravina Jaya";"22";"Raja Street";"591648"
"45406";"4305436406";"anilabhi@gmail.com";"Anil Abhishek";"71";"Shroff Street";"234740"
"26865";"8145956923";"nilofara@hotmail.com";"Nilofar Amardeep";"83";"Vig Street";"158657"
"43143";"5636459498";"vinayarvind24@hotmail.com";"Vinay Aravind";"26";"Chakraborty Street";"525343"
"13261";"9242192421";"abc123@gmail.com";"Niyanta";"204";"Shobha Classic";"560068"
"57652";"1234567890";"sunaina@gmail.com";"Sunaina Mishra";"12";"Shroff Street";"234740"
