"fname";"lname";"vendor_id";"email_id";"product_id";"cust_id"
"harry";"singh";"75071";"harry@gmail.com";"59854";"57317"
"harry";"singh";"75071";"harry@gmail.com";"59854";"26864"
"harry";"singh";"75071";"harry@gmail.com";"59854";"58462"
"harry";"singh";"75071";"harry@gmail.com";"53028";"57317"
"harry";"singh";"75071";"harry@gmail.com";"14270";"58462"
"harry";"singh";"75071";"harry@gmail.com";"59854";"63698"
"harry";"singh";"75071";"harry@gmail.com";"98390";"63698"
"ramesh";"sharma";"40101";"ramesh@gmail.com";"59854";"33295"
"ramesh";"sharma";"40101";"ramesh@gmail.com";"15292";"33295"
"ramesh";"sharma";"40101";"ramesh@gmail.com";"59854";"33295"
"ramesh";"sharma";"40101";"ramesh@gmail.com";"14270";"22150"
"ramesh";"sharma";"40101";"ramesh@gmail.com";"59854";"22150"
"ram";"c";"70978";"ram@gmail.com";"53028";"76443"
"ram";"c";"70978";"ram@gmail.com";"59854";"76443"
"ranjeeta";"s";"94138";"ranjeeta@gmail.com";"59854";"45406"
"ranjeeta";"s";"94138";"ranjeeta@gmail.com";"45124";"26864"
"ranjeeta";"s";"94138";"ranjeeta@gmail.com";"98390";"45406"
"rakesh";"sharma";"29690";"rakesh@gmail.com";"81010";"43143"
"rakesh";"sharma";"29690";"rakesh@gmail.com";"15292";"43143"
"vishwa";"mehta";"73660";"vis@gmail.com";"59854";"58462"
"vismaya";"r";"84992";"vismaya@gmail.com";NULL;NULL
"neeta";"sharma";"40226";"neeta@gmail.com";NULL;NULL
"Mehul";"Mehta";"74044";"msm124@yahoo.com";"59854";"13261"
"vishwa";"mehta";"73660";"vis@gmail.com";"53028";"57652"
"vinti";"agrawal";"91639";"vinti@gmail.com";NULL;NULL
"vishwa";"mehta";"73660";"vis@gmail.com";"53028";"57652"
"vishwa";"mehta";"73660";"vis@gmail.com";"53028";"57652"
